id,prec,tem,ws,wd,hum,press,pm2_5
1100138826,0,16.29,3.38,149.31,39.61,724.52,13.79
1100149868,0,17.98,2.35,113.28,39.92,726.52,7.42
110018254,0,15.17,2.18,109.87,63.92,726.96,26.91
1100118593,0,17.33,1.73,0,59.64,724.53,18.24
110017518,0,19.78,2.7,8.48,49.04,726.48,17.96
1100134944,0,12.95,3.21,236.71,60.85,726.06,2.15
1100140753,0,11.16,1.29,207.83,84.95,724.87,29.43
1100121125,0.8,15.52,1.91,311.08,62.14,725.74,13.16
1100113121,0,19.86,2.71,136.77,30.8,726.22,4.43
110011155,0.1,14.32,1.87,181.44,71.14,726.51,12.08
1100171635,0,18.72,3.06,103.4,33.07,724.4,13.75
1100151273,0.1,10.47,1.69,136.92,97.65,727.66,4.01
1100132098,0,11.4,1.27,145.91,86.95,724.73,15.21
1100111685,0,17.49,3.81,0,58.28,725.12,21.81
1100144938,0,15.22,2.91,199.18,47.98,727.24,11.55
1100146131,0,12.19,2.76,208.32,57.27,724.53,2.76
1100118202,0,12.94,1.16,154.39,89.75,727.73,10.65
1100142523,0,15.29,2.31,45.78,69.46,724.3,21.13
1100141720,0,16.64,2.82,18.05,63.67,722.87,20.29
1100152396,0,16.17,3.27,185.04,64.68,719.83,19.59
1100161521,0,14.23,1.87,358.1,65.17,725.61,8.88
1100170776,0.1,14.44,2.11,21,74.05,725.41,11.73
110014207,0,10.56,0.76,316.6,79.66,728.15,23.95
1100135232,0,10.04,1.24,140.8,98.6,727.83,11.08
1100172445,0,16.6,2.77,350.4,51.58,724.4,20.94
1100172579,0,15.81,2.99,189.3,47.42,725.6,4.55
1100167899,0,14.47,1.94,160.7,82.25,725.76,37.07
1100147362,0,10.4,1.31,183.96,90.5,726.18,35.94
1100158073,0,19.01,1.97,102.48,40.76,723.09,20.91
1100111984,0,12.77,0.72,0,76.69,728.31,30.23
1100165508,0,14.87,1.42,149.6,79.14,728,8.04
1100146754,0,10.03,0.79,187.44,90.06,726.18,28.47
1100136232,0,13.81,1.2,348.31,65.22,725.77,20.15
1100165631,0.9,13.24,2.34,175.3,82.07,725.6,26.45
1100129698,0,11.62,1.63,190.69,62.67,725.98,5.6
1100136876,0,15.34,1.43,303.38,54.38,724.61,5.08
1100159470,0,12.22,0.94,261.3,93.68,722.39,34.19
1100111086,0,10.76,1.03,145.11,89.39,728.78,12.07
1100115582,0,20.44,2.1,112.88,26.29,725.78,8.48
1100110913,0,11.7,2.17,225,63.87,726.79,3.06
1100171990,0,18.7,2,86.9,41.23,726.06,6.86
1100172036,0,17.42,2.46,189.8,43.7,726.25,9.53
1100148529,0,15.84,1.39,133.2,60.61,726.7,57.07
1100138250,0,18.39,4.21,135.19,26.49,727.06,5.53
1100144045,0,16.49,2.03,185.57,58.6,726.2,18.46
1100158346,0,12.8,1.05,177.12,90.79,723.3,15.72
1100161420,0,12.41,1.91,218.3,69.47,726.79,10.12
1100171039,0,16.73,3.25,354,60.3,725.6,17.48
110016843,1.5,11.45,2.56,182.77,93.79,726.12,20.57
1100113155,0,14.65,2.71,215.91,47.23,726.18,9.55
1100149817,0,13.35,1.13,106.68,74.02,726.18,16.21
11001730,0,9.91,0.71,133.92,92.34,726.37,12.85
1100159076,0,16.39,2.06,75.8,61.24,720.8,32.34
1100144122,0,11.85,0.85,222.81,93.49,727.84,26.18
1100163905,0,12.98,3.37,189.7,54.64,724.4,1.54
1100144261,0.1,12.12,0.64,90.37,94.32,727.38,5.75
1100121617,0,17.44,2.51,134.21,43.44,727.12,3.78
1100134871,0,9.28,0.66,229.18,91.13,725.22,14.58
1100121099,0,17.84,2.3,104.94,36.87,726.17,9.46
